"Training.Label.Desc" "Subject" "mean(1:55)"
"LAYING" 1 28
"LAYING" 2 28
"LAYING" 3 28
"LAYING" 4 28
"LAYING" 5 28
"LAYING" 6 28
"LAYING" 7 28
"LAYING" 8 28
"LAYING" 9 28
"LAYING" 10 28
"LAYING" 11 28
"LAYING" 12 28
"LAYING" 13 28
"LAYING" 14 28
"LAYING" 15 28
"LAYING" 16 28
"LAYING" 17 28
"LAYING" 18 28
"LAYING" 19 28
"LAYING" 20 28
"LAYING" 21 28
"LAYING" 22 28
"LAYING" 23 28
"LAYING" 24 28
"LAYING" 25 28
"LAYING" 26 28
"LAYING" 27 28
"LAYING" 28 28
"LAYING" 29 28
"LAYING" 30 28
"SITTING" 1 28
"SITTING" 2 28
"SITTING" 3 28
"SITTING" 4 28
"SITTING" 5 28
"SITTING" 6 28
"SITTING" 7 28
"SITTING" 8 28
"SITTING" 9 28
"SITTING" 10 28
"SITTING" 11 28
"SITTING" 12 28
"SITTING" 13 28
"SITTING" 14 28
"SITTING" 15 28
"SITTING" 16 28
"SITTING" 17 28
"SITTING" 18 28
"SITTING" 19 28
"SITTING" 20 28
"SITTING" 21 28
"SITTING" 22 28
"SITTING" 23 28
"SITTING" 24 28
"SITTING" 25 28
"SITTING" 26 28
"SITTING" 27 28
"SITTING" 28 28
"SITTING" 29 28
"SITTING" 30 28
"STANDING" 1 28
"STANDING" 2 28
"STANDING" 3 28
"STANDING" 4 28
"STANDING" 5 28
"STANDING" 6 28
"STANDING" 7 28
"STANDING" 8 28
"STANDING" 9 28
"STANDING" 10 28
"STANDING" 11 28
"STANDING" 12 28
"STANDING" 13 28
"STANDING" 14 28
"STANDING" 15 28
"STANDING" 16 28
"STANDING" 17 28
"STANDING" 18 28
"STANDING" 19 28
"STANDING" 20 28
"STANDING" 21 28
"STANDING" 22 28
"STANDING" 23 28
"STANDING" 24 28
"STANDING" 25 28
"STANDING" 26 28
"STANDING" 27 28
"STANDING" 28 28
"STANDING" 29 28
"STANDING" 30 28
"WALKING" 1 28
"WALKING" 2 28
"WALKING" 3 28
"WALKING" 4 28
"WALKING" 5 28
"WALKING" 6 28
"WALKING" 7 28
"WALKING" 8 28
"WALKING" 9 28
"WALKING" 10 28
"WALKING" 11 28
"WALKING" 12 28
"WALKING" 13 28
"WALKING" 14 28
"WALKING" 15 28
"WALKING" 16 28
"WALKING" 17 28
"WALKING" 18 28
"WALKING" 19 28
"WALKING" 20 28
"WALKING" 21 28
"WALKING" 22 28
"WALKING" 23 28
"WALKING" 24 28
"WALKING" 25 28
"WALKING" 26 28
"WALKING" 27 28
"WALKING" 28 28
"WALKING" 29 28
"WALKING" 30 28
"WALKING_DOWNSTAIRS" 1 28
"WALKING_DOWNSTAIRS" 2 28
"WALKING_DOWNSTAIRS" 3 28
"WALKING_DOWNSTAIRS" 4 28
"WALKING_DOWNSTAIRS" 5 28
"WALKING_DOWNSTAIRS" 6 28
"WALKING_DOWNSTAIRS" 7 28
"WALKING_DOWNSTAIRS" 8 28
"WALKING_DOWNSTAIRS" 9 28
"WALKING_DOWNSTAIRS" 10 28
"WALKING_DOWNSTAIRS" 11 28
"WALKING_DOWNSTAIRS" 12 28
"WALKING_DOWNSTAIRS" 13 28
"WALKING_DOWNSTAIRS" 14 28
"WALKING_DOWNSTAIRS" 15 28
"WALKING_DOWNSTAIRS" 16 28
"WALKING_DOWNSTAIRS" 17 28
"WALKING_DOWNSTAIRS" 18 28
"WALKING_DOWNSTAIRS" 19 28
"WALKING_DOWNSTAIRS" 20 28
"WALKING_DOWNSTAIRS" 21 28
"WALKING_DOWNSTAIRS" 22 28
"WALKING_DOWNSTAIRS" 23 28
"WALKING_DOWNSTAIRS" 24 28
"WALKING_DOWNSTAIRS" 25 28
"WALKING_DOWNSTAIRS" 26 28
"WALKING_DOWNSTAIRS" 27 28
"WALKING_DOWNSTAIRS" 28 28
"WALKING_DOWNSTAIRS" 29 28
"WALKING_DOWNSTAIRS" 30 28
"WALKING_UPSTAIRS" 1 28
"WALKING_UPSTAIRS" 2 28
"WALKING_UPSTAIRS" 3 28
"WALKING_UPSTAIRS" 4 28
"WALKING_UPSTAIRS" 5 28
"WALKING_UPSTAIRS" 6 28
"WALKING_UPSTAIRS" 7 28
"WALKING_UPSTAIRS" 8 28
"WALKING_UPSTAIRS" 9 28
"WALKING_UPSTAIRS" 10 28
"WALKING_UPSTAIRS" 11 28
"WALKING_UPSTAIRS" 12 28
"WALKING_UPSTAIRS" 13 28
"WALKING_UPSTAIRS" 14 28
"WALKING_UPSTAIRS" 15 28
"WALKING_UPSTAIRS" 16 28
"WALKING_UPSTAIRS" 17 28
"WALKING_UPSTAIRS" 18 28
"WALKING_UPSTAIRS" 19 28
"WALKING_UPSTAIRS" 20 28
"WALKING_UPSTAIRS" 21 28
"WALKING_UPSTAIRS" 22 28
"WALKING_UPSTAIRS" 23 28
"WALKING_UPSTAIRS" 24 28
"WALKING_UPSTAIRS" 25 28
"WALKING_UPSTAIRS" 26 28
"WALKING_UPSTAIRS" 27 28
"WALKING_UPSTAIRS" 28 28
"WALKING_UPSTAIRS" 29 28
"WALKING_UPSTAIRS" 30 28
